slug,url,title,date,content_text,image_urls,local_image_files
13-cistern-inaugurations,https://www.rotarysmamidday.org/news/13-cistern-inaugurations,13 Cistern Inaugurations for 3 Communities of San Miguel de Allende,9/8/2023,"By Eddie Colbeth
​​On Saturday, September 9th, Carla Cardena led 9 Rotarians and friends on an adventure to the campo to inaugurate 13 cisterns from the communities of La Niveña, El Rufigio, and Cerro Blanco. There were more than 50 folks from 4 generations of the communities in attendance. We were greeted by smiling faces, and everyone had gone beyond expectations with decorations and hospitality. There was a wall of photos, balloons, streamers, and knitted gifts. Our hosts set up large shade structures, tables, and chairs.
​
The cistern building teams did presentations, a poetry reading, and a line dance! The builders all received diplomas from our partner, CEDESA. The teams created knitted gifts, from miniatures to pots of flowers and needlepoint. The quality and quantity of food they prepared with love, warmed our hearts. The gratitude that these communities expressed was overwhelming. For many builders, it was their first time speaking in public. Now, these folks have fresh, safe water for generations to come, and they’ve learned the power of communities working together. It’s humbling to watch Rotary in action!",,
2023-midday-rotary-citizen-of-the-year-bill-wilkinson,https://www.rotarysmamidday.org/news/2023-midday-rotary-citizen-of-the-year-bill-wilkinson,2023 Midday Rotary Citizen of the Year: Bill Wilkinson,3/5/2024,"Bill Wilkinson's extraordinary commitment to improving the lives of indigenous communities around San Miguel has earned him the esteemed title of Midday Rotary's Citizen of the Year.
For the past nine years, Bill's tireless dedication and compassion have left an indelible mark on countless individuals. Like most projects, his were born of noticing needs that he could fill.
His journey began with a simple act of volunteerism as a driver for Jovenes Adelante. While visiting El Lindero, he witnessed firsthand the challenges faced by indigenous populations in underfunded schools. He brought in volunteers to help them with reading and offered a scholarship to enable a student to attend a four-year nursing school.
The next community, Salitrillo, had different obstacles. In addition to English lessons and scholarships, they needed a library, clean water, and internet access. He addressed each of these concerns: building both a water catchment system and a library that he stocked with books.
Over the years, he’s extended his reach to nine separate communities, building computer labs, robotics clubs, and more water catchment systems, while also donating computers and refrigerators and benches as needs arose. Each year he and his wife offer numerous scholarships to young people of the campos. They also pay teachers to stay after school to teach computer literacy.
The list of Bill’s generous gifts of time, money, and effort goes on for pages. In addition to his local endeavors, he’s organized awareness events to address pressing issues such as rural education and the water crisis, rallying stakeholders and university students to join the cause. Bill's impact reverberates far and wide and reflect his unwavering commitment to holistic community development. His collaborative spirit shines through partnerships with local organizations and universities, amplifying his efforts to address pressing issues like rural education and the water crisis. His recent establishment of the NGO,    Apoyo Escolar   , underscores his dedication to scaling up his philanthropic endeavors.
Bill Wilkinson's journey epitomizes Rotary's ethos of service above self. His steadfast dedication and unwavering passion serve as an inspiration to us all, reminding us of the profound impact one individual can make in creating a brighter future for communities in need. The Midday Rotary Club of San Miguel de Allende is proud to offer him 2023’s Citizen of the Year Award. We hold him up as an example of what one big-hearted person can accomplish and wish him the best of luck in his many ongoing endeavors.
​ 
Please leave a message for Bill below. 
Past Recipients    
​2007 – Saul and Linda Whynman / Audubon, Casita Linda 
2008 – Donna Quathamer / Casa de Los Angeles 
2009 – Robin Loving / Casa Hogar Santa Julia, A.C. 
2010 – Chela Martinez / CEDESA 
2011 – Joe and Antonette Lim / So Others May Eat (S.O.M.E.) 
2012 – Patricia Palacios Cortes / Centro Infantil San Pablo 
2013 – Olivia Muniz Rodriguez / Feed the Hungry 
2014 – Ezequiel Mojica Galvan / Apoyo a Gente Emprendeora A.C. 
2015 - Mario Arturo Hernandez Pena / El Charco del Ingenio A.C. 
2016 – Kathleen Devine / Mujeres en Cambio A.C. 
2017 – Elizabeth “Betse” Davies / Patronato Pro Ninos A.C. 
2018 – Dra. Grace Joanne Lim Baga / So Others May Eat (S.O.M.E.) 
2019 – Susan Page / San Miguel Literary Sala 
2020 – Joey Merrifield and Jessica Frick–Liston / Covid -19 Healthcare Teams 
2021 – Myrna Montes / Amigos al 100 
2022 – Lety Fernandez / Cruz Roja",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/rotary-coy-bill-wilkerson_orig.jpg,harvest/news/images/2023-midday-rotary-citizen-of-the-year-bill-wilkinson__01__rotary-coy-bill-wilkerson_orig.jpg
2024-25-step-up-step-down-celebration,https://www.rotarysmamidday.org/news/2024-25-step-up-step-down-celebration,2024-25 Step-Up - Step-Down Celebration,7/16/2024,"​Joe’s Hope Paved the Way for Lee’s Magic!     by Robin Loving
​And a good time was had by all who braved the elements Wednesday and made it to Lee’s Party Palace for the Step-Down, Step-Up party at which we roasted and toasted former Rotary Midday President Joe Ruffino before giving the same treatment to President Lee Carter.
Joe received a plaque in honor of his dedication and accomplishments, and then Lee received both a ball cap emblazoned with this year’s theme, The Magic of Rotary, and a magic wand with which he may, with the stroke of a pen, formalize his initiatives this year.
Special thanks to Members Alex Fautsch, Andrea Spessard, Gael Sherman, Jill Noack, Jose de Anda, Kerry Fautsch and TL Phillips for their voluntarism at this special event!
Please add comments for Joe and Lee below!",,
2024-holiday-luncheon-at-the-bistro,https://www.rotarysmamidday.org/news/2024-holiday-luncheon-at-the-bistro,2024 Holiday Luncheon at The Bistro,12/11/2024,"Midday Rotary jumped ahead of the official holiday season with a delightful turkey comida at The Bistro recently. About 40 of us and our closest friends and relatives gathered to toast, share gifts, and forecast great new things for the new year.
Thankfully, no one wore the traditional ugly sweater, but there was some glitz and glam to be seen among the sea of green and red, and all seemed gleeful about their Secret Santa gifts thanks to Elf Evelyn! In keeping with the holiday spirit, our members made contributions that will purchase books for the Escuela de Educación Especial de San Miguel de Allende. 
We missed those not in attendance, but wish all Felices Fiestas in our elongated holiday season which officially began December 12 with Dia de la Virgin de Guadalupe and will officially end after January 6 when Three Kings Day will be celebrated.
May we all enjoy the holidays with our own traditions and those of our adopted country and have a safe and prosperous new year!
Many thanks to our Fellowship Committee and the organizational skills of Robin Loving for making this event happen.",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/b810586f-2da1-40eb-a0f1-e6a6a987d0e4_orig.jpg,harvest/news/images/2024-holiday-luncheon-at-the-bistro__01__b810586f-2da1-40eb-a0f1-e6a6a987d0e4_orig.jpg
27-attend-training-on-essential-competencies-in-palliative-and-hospice-care,https://www.rotarysmamidday.org/news/27-attend-training-on-essential-competencies-in-palliative-and-hospice-care,27 Attend Training on Essential Competencies in Palliative and Hospice Care,8/19/2025,"Twenty seven​ local nurses and caregivers attended a training on Essential Competencies in Palliative and Hospice Care for Nursing Staff hosted by our Midday Rotary Club’s partner     Mitigare Cuidados Paliativos A.C.    , in the Lee Carter Center in August.
Dr. Lulu Tejeida of Hospice helped them strengthen knowledge, skills, and attitudes necessary to provide comprehensive, humane, high-quality care to patients with advanced illnesses and to their families. 
The training addressed key topics such as the role of nurses in palliative care, empathetic communication, pain and symptom management, and the differences between the palliative care model and the hospice approach. In addition, teamwork was encouraged, and participants reflected on the importance of dignity and accompaniment at the end of life. 
With initiatives like this, Mitigare reaffirms its commitment to promoting continuous education for healthcare professionals, ensuring that every patient and family receives compassionate and professional care during the most sensitive moments of their life journey.      	  		  			  				 For more information, please submit the form below:     *  Indicates required field    				 Name  *   				   				  					  					 First  				  				  					  					 Last  				  				   			  			        				 Email  *   				  					  				  				   			       				 Comment  *   				  					   				  				   			   			  			 		  		  			  		  		  			  			  			  			  			  			  				 Submit  			  		  	  	          					 				 				  					 						             ​Dra. Lulu’s class for 27 nurses and caregivers",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/2025-08-22-hospice-class_orig.jpg | https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/jps-oce-logo_orig.jpg,harvest/news/images/27-attend-training-on-essential-competencies-in-palliative-and-hospice-care__01__2025-08-22-hospice-class_orig.jpg | harvest/news/images/27-attend-training-on-essential-competencies-in-palliative-and-hospice-care__02__jps-oce-logo_orig.jpg
apoyo-graduates-forecast-success,https://www.rotarysmamidday.org/news/apoyo-graduates-forecast-success,Apoyo a Gente Emprendedora Celebrates 20 Years with Graduation Ceremony,8/20/2025,"Apoyo has been actively engaged in providing business training and non-interest-bearing loans to future entrepreneurs -- primarily from the countryside -- for more than 20 years! More than 1,200 persons -- primarily women who head their households in rural villages -- have attended Apoyo’s business training, seminars and workshops over the past 10 years.
The Rotary Club of San Miguel de Allende-Midday has been partnering with Apoyo for the past five years via Apoyo’s microlending program. The Club has now obtained a Rotary Foundation Global Grant to partner with Apoyo to expand their vocational training program in order to increase the number of graduates in an increased number of vocational training areas. 
Graduating on August 21 from Apoyo’s vocational training program were about 25 new plumbers, graphic art designers, customer relations professionals, and business entrepreneurs.  Some of the graduates graduated from more than one course! “It was a very moving experience to see how proud the graduates and their families were,” said Rotary Member Pat Laird, who interviewed three of the graduates.  
Marisol Gonzalez is a single mother who works as a cook and baker in a restaurant and is in the process of having a house built. She completed the course in plumbing although she does not plan to be a plumber.  “I wanted to understand the processes and materials needed to build my house so I might better communicate with the workers,” said Gonzalez.
A happy result of the course is that she learned to fix things around her house.  Gonzalez felt a huge sense of empowerment recently when the pump on her water tank broke and she repaired it.  She is considering taking more business courses and is thinking of consulting, supervising and becoming a property manager in the future.  
Mayra Hernandez is an elementary school teacher and artist.  She has a side business face painting.  She completed a graphic design course to increase her art income and teach art to her students.
Mia Hernan took the graphic design class to help promote her business selling kitchen supplies.  She runs a Saturday popup store near the Don Volente restaurant. “Mia’s  posters are impressive,” said Laird. Hernan also makes lovely dolls. 
Congratulations to all the graduates, and deep thanks to all the Rotarians here and elsewhere who made these successes possible! If you know someone who might be interested in one of Apoyo’s free courses, direct them to Apoyo’s Facebook presence.
I want more information on this project     *  Indicates required field    				 Name  *   				   				  					  					 First  				  				  					  					 Last  				  				   			  			        				 Email  *   				  					  				  				   			       				 Comment  *   				  					   				  				   			   			  			 		  		  			  		  		  			  			  			  			  			  			  				 Submit",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/2025-08-21-apoyograds_orig.jpg,harvest/news/images/apoyo-graduates-forecast-success__01__2025-08-21-apoyograds_orig.jpg
bee-co-ops-are-great,https://www.rotarysmamidday.org/news/bee-co-ops-are-great,PROJECT REPORT: Beekeeping Cooperatives in San Miguel de Allende,5/20/2020,"May 20 has been designated as World Bee Day by the United Nations  
The Midday Rotary Club of SMA is organizing seven families in three communities to form three beekeeping cooperatives. The project includes training, transportation, and equipment. Rotary Midday is paying for all soft costs training, education, inspections, project monitoring, and transportation. You can support this and our other projects in the community by donating on the  link on our webpage. 
Beekeeping is a very important and valuable activity for rural communities. It is a way of being able to give families an  opportunity to change their lives in various aspects, such as their diet, their health, the union between the participants, soil conservation, reforestation, and protection of the territory. 
At the same time, when they satisfy their food needs with honey and its derivatives, they have the opportunity to sell the surplus, through which an extra income is generated in the family.
Since 2014 CEDESA (Centro de Desarrollo Agropecuario) began promoting beekeeping in COCIRA communities, where working groups have been joining this process.
CEDESA and the Association of Beekeepers of Northern Guanajuato began to accompany these groups with technical training and organization workshops; through micro-region meetings where new groups that are interested in working with beekeeping have been joining.
Bees are very valuable to humanity, Albert Einstein said: ""If the bees disappear, man would have 4 years left on Earth.""",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/editor/whatsapp-image-2020-05-14-at-11-41-47-am.jpeg?1662320498,harvest/news/images/bee-co-ops-are-great__01__whatsapp-image-2020-05-14-at-11-41-47-am.jpeg
celebrate-peace-in-march-and-april,https://www.rotarysmamidday.org/news/celebrate-peace-in-march-and-april,Celebrate Peace in March and April,3/10/2023,"​ By Tom Schneider 
San Miguel’s two local Rotary Clubs and Rotaract are sponsoring a series of public events to promote peace in March and April. 
On Tuesday, March 21, at noon, gather at the Peace Pole obelisk in Parque Juarez to celebrate the spring equinox when local indigenous elder Alicia Mayo will lead a four-direction ceremony including the chant “May Peace Prevail on Earth” in four languages: English, Nauatl, Otomi, and Spanish. Then, hearing-impaired students from the Escuela de Educacion Especial will present the same in Mexican sign language, and Maggie Sperling, a visually impaired Rotarian, will read the Braille version.     					 				 				  					 						        
This Rotary Worldwide Peace Project is headed by a 92-year-old Hiroshima survivor from a Rotary Club in Japan. Featured at the same time will be San Miguel’s ginko biloba Peace Tree, a progeny of the one which sprouted at Ground Zero in Hiroshima after the world’s worst act of war almost 80 years ago.  
On Sunday. April 16, at 10 a.m. the Spanish-speaking Rotary Club will receive the Paloma de Paz (Dove of Peace) sculpture from the Rotary Club of Dolores Hidalgo at Instituto Sanmilguelense (ITSES) at Escuadron 201, Carretera San Miguel de Allende - Dr. Mora No.10-Km. 0.5, Palmita de Landeta, where their exchange students attend classes. Attendees are encouraged to wear white, the color of peace. 
On Sunday, April 23, at 10 a.m., the Spanish-speaking Rotary Club will present the Paloma de Paz sculpture to the English-speaking Rotary Club, which has been given the honor of taking it to the Rotary Convention in Guadalajara in May. 
This free event will be at Parque Juarez at the Peace Pole obelisk. Rotaract members will be there, as well, as will people from ITSES. The event will feature presentations by a couple of Rotary Peace Fellows. All will then will walk up Sollano to the Jardin to place the Paloma de Paz sculpture on display at the municipal tourist office at the Jardin. 
On Tuesday, April 25, at 9:30 a.m., Rotary Peace Fellow Maiden R. Manzal-Frank will present at the English-speaking Rotary Club on   Resetting our Future: Provocateurs not Philanthropists, Turning Good Intentions into Global Impacts,   her new book that guides people to learn how to create lasting impacts at the global level. This will be at the Biblioteca’s Sala Quetzal, which is accessible at that hour via the Relox entrance near Insurgentes.",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/sculpture2_orig.jpg,harvest/news/images/celebrate-peace-in-march-and-april__01__sculpture2_orig.jpg
charity-works-full-circle-a-deaf-student-becomes-a-teacher-of-hope,https://www.rotarysmamidday.org/news/charity-works-full-circle-a-deaf-student-becomes-a-teacher-of-hope,"Charity Works: Full Circle, A Deaf Student Becomes a Teacher of Hope",11/1/2025,"​By Sharon Doherty
Most of us can remember a teacher who made a real difference in our lives, someone whose warmth, patience, and sense of humor helped us discover a love of learning. But imagine how much more powerful that connection can be when you are a Deaf child meeting a teacher who is also Deaf, who understands your world and your language completely. Laura is one such teacher.
Her story begins when her parents enrolled her at EEESMA School for the Deaf in 2013, at the tender age of fourteen. Before that, Laura had limited access to formal education. Like so many Deaf children in México, she came from a family with limited financial means, and her only option was to sit silently in a public-school classroom. Her teachers, through no fault of their own, did not know sign language, and her parents had not had the opportunity to learn it either. 
For a young child, that meant living in a world with very little communication, a world of isolation and quiet frustration. But Laura’s story takes a hopeful turn. With remarkable perseverance, determination, and a bright, curious mind, Laura began to thrive at EEESMA School for the Deaf. There, for the first time, she could communicate freely in Mexican Sign Language and truly understand what her teachers were teaching. Her hearing teachers, trained in sign language and deeply dedicated, came from places such as Irapuato, México City, and Colima. Together, they created a nurturing environment that allowed Laura and her classmates to succeed. EEESMA became the first school of its kind in the State of Guanajuato, offering Deaf students not only an education but also a sense of belonging and pride in who they are.
After graduating from high school, Laura dreamed of going to university, but that dream came with enormous challenges. Attending classes in person would require a full-time sign language interpreter and tutors to help her navigate complex academic concepts, resources far beyond her family’s reach. Then, unexpectedly, a door opened.
After the pandemic, online education became more common in México. For the first time, Laura could imagine pursuing a degree virtually, with the support of her former teachers and mentors at EEESMA, who offered to interpret and guide her along the way in an EEESMA classroom during school hours. With their help, the support of her family and her own determination, Laura successfully earned her Undergraduate Degree in Education, a remarkable accomplishment.
To understand just how extraordinary this is, it helps to know that according to INEGI, México’s national statistics agency, only about 4.1% of Deaf people in México ever attend higher education. Most face barriers such as a lack of early access to sign language, few Deaf-friendly schools, and minimal educational support. Laura’s achievement stands as a powerful example of what is possible when opportunity, positivity and cooperation come together. Twelve years after her first day at EEESMA, Laura’s life has come full circle. Today, she is a qualified teacher at the very same school where she once sat as a young student, now guiding the youngest children in the primary classroom. Her role is profound: teaching her students Mexican Sign Language, their first language, while helping them learn to read and write in Spanish, their second language.
Most of all, Laura has become an inspiring role model for every child at EEESMA. Her success shows them, and their families, that being Deaf is not a limitation but a source of strength and pride. Through her story, Laura reminds us all that with access to language, education, and love, every Deaf child can grow into a confident, capable adult, a person who not only thrives but helps others do the same.
At EEESMA School for the Deaf, our mission, in addition to providing an academic education in sign language, is to help every Deaf child discover their potential and achieve the level of success they dream of. For some, that dream may be to continue to university; for others, it may mean learning valuable vocational skills offered by EEESMA such as computer technology, woodworking, jewelry making or leather crafting. Whatever their path, each child deserves the opportunity to learn, grow, and build a fulfilling future with confidence and pride.
​The school relies entirely on grants, donations and fundraising events to support its operations and programs. We hope you will choose to be part of a Deaf child’s life-changing journey.
Learn more about EEESMA School for the Deaf, located at Umarán 107, and how your support helps open doors for Deaf children. Visit    www.eeesma.com       					 				 				  					 						                                    	  		  			  				 ​Contact Us for more Information     *  Indicates required field    				 Name  *   				   				  					  					 First  				  				  					  					 Last  				  				   			  			        				 Email  *   				  					  				  				   			       				 Comment  *   				  					   				  				   			   			  			 		  		  			  		  		  			  			  			  			  			  			  				 Submit",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/2025-11-deafschool_orig.jpg | https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/2025-11-eeesma-logo-framed_orig.jpg,harvest/news/images/charity-works-full-circle-a-deaf-student-becomes-a-teacher-of-hope__01__2025-11-deafschool_orig.jpg | harvest/news/images/charity-works-full-circle-a-deaf-student-becomes-a-teacher-of-hope__02__2025-11-eeesma-logo-framed_orig.jpg
citizen-of-the-year-award-winner-salutes-community,https://www.rotarysmamidday.org/news/citizen-of-the-year-award-winner-salutes-community,Citizen of the Year Award Winner Salutes Community,1/19/2026,"by Robin Loving
“This work has never really been about water,” said 2025 Citizen of the Year Award Honoree Dylan Terrell, founder and executive director of Caminos de Agua. “It’s about community. I arrived in San Miguel (with) no intention of working in water. But … it became very clear, very quickly, that water was the issue,” he continued.
Terrell went on to say that solutions do not come from outsiders but from communities understanding their challenges, organizing, and taking ownership of solutions. As well, he credited his family for giving him the ability to believe that what matters most is making a meaningful impact. He closed with, “Come together around a shared problem and refuse to just accept that things have to stay the way they are.”
This was the 19th Citizen of the Year ceremony sponsored by the Rotary Club of San Miguel de Allende-Midday. Mark Hager and Vice President of Club Services Robin Loving coordinated the event with the assistance of Emcee Joe Ruffino, President Andrea Spessard, Alex and Kerry Fautsch, Gael Sherman, Co-Sergeants of Arms Carla Espinoza and Elizabeth Adlung, David Miller, Tech Wizard Diego Vargas, Beverly Hill, Co-Vice Presidents of Membership Joyce Grenis and Kathy Zapata, Secretary Phillip Jares, David Bossman, President-elect Jose de Anda, Donn Zellet, Pat Laird, Enrique Orvananos, and various other volunteers.
For more information, contact President Andrea Spessard at   [email protected]   and/or Robin Loving at   [email protected]  .    					 				 				  					 						          Video of the Award Ceremony                Click to view the video recording",https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/welcome_orig.jpg | https://www.rotarysmamidday.org/uploads/3/0/4/5/30452824/2026-03-24-dylan-famil-edity_orig.jpg,harvest/news/images/citizen-of-the-year-award-winner-salutes-community__01__welcome_orig.jpg | harvest/news/images/citizen-of-the-year-award-winner-salutes-community__02__2026-03-24-dylan-famil-edity_orig.jpg
